P_CODE,P_DESCRIPT,P_QOH,P_PRICE
11QER/31,"Power painter, 15 psi. 3-nozzle",8,109.99
13-Q2/P2,"7.25-in. pwr. saw blade",32,14.99
14-Q1/L3,"9.00-in. pwr. saw blade",18,17.49
1546-QQ2,"Hrd. cloth, 1/4-in., 2x50",15,39.95
1558-QW1,"Hrd. cloth, 1/2-in., 3x50",23,43.99
2232/QTY,"B&D jigsaw, 12-in. blade",8,109.92
2232/QWE,"B&D jigsaw, 8-in. blade",6,99.87
2238/QPD,"B&D cordless drill, 1/2-in.",12,38.95
23109-HB,"Claw hammer",23,9.95
23114-AA,"Sledge hammer, 12 lb.",8,14.4
54778-2T,"Rat-tail file, 1/8-in. fine",43,4.99
89-WRE-Q,"Hicut chain saw, 16 in.",11,256.99
PVC23DRT,"PVC pipe, 3.5-in., 8-ft",188,5.87
SM-18277,"1.25-in. metal screw, 25",172,6.99
SW-23116,"2.5-in. wd. screw, 50",237,8.45
WR3/TT3,"Steel matting, 4'x8'x1/6", .5" mesh",18,119.95
